Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #
1,21.99,10094,91,2023,207
2,19.99,18404,97,2018,219
3,19.99,188,78,2023,14
4,29.99,864,93,2023,21
5,14.99,433,99,2024,188
6,49.99,1998,96,2023,57
7,59.99,4104,73,2023,292
8,9.99,147151,97,2000,1127
9,14.99,795,91,2024,238
10,19.99,27067,90,2020,212
11,24.99,424,83,2023,12
12,24.99,12549,92,2023,607
14,24.99,1290,75,2024,1290
15,29.99,36,75,2023,36
16,7.99,368,95,2024,217
17,9.99,89380,96,1998,1057
1,4.99,597631,92,2018,2331
2,0,59396,87,2021,1171
3,9.99,1192,89,2023,85
4,14.99,2620,79,2021,20
5,9.99,2163,94,2021,54
6,24.99,989,81,2018,12
7,4.99,3197,91,2021,74
8,9.99,13228,85,2019,31
9,0,5455,79,2023,271
10,9.99,2117,76,2022,30
11,0,91809,79,2017,430
12,4.99,50,92,2023,50
13,29.99,2067,95,2019,16
14,4.99,31005,89,2014,58
15,14.99,326,75,2022,0
16,9.99,12,66,2024,12
17,4.99,2082,89,2020,0
1,39.99,147132,78,2024,147132
2,29.99,3241,80,2024,3241
3,49.99,83105,87,2020,1108
4,0,798308,78,2020,14820
5,0,564862,87,2013,5737
6,39.99,91409,94,2020,1718
7,49.99,6618,92,2023,550
8,9.99,283000,97,2023,31645
9,9.99,12782,84,2024,13180
10,59.99,20536,87,2021,333
11,59.99,634249,82,2020,9161
13,0,584152,80,2019,3352
14,39.99,11269,92,2019,135
15,39.99,101086,93,2013,365
16,59.99,66658,84,2016,541
1,49.99,64976,82,2016,850
2,59.99,6686,59,2023,250
3,29.99,36296,76,2014,518
4,19.99,2342,95,2021,96
5,19.99,5571,88,2021,101
6,9.99,273,71,2024,73
7,19.99,1245,90,2017,32
8,19.99,478,96,2022,12
9,17.99,75,88,2024,75
10,9.99,12361,94,2024,129
11,24.98,6043,79,2020,64
12,12.99,83,85,2022,0
13,14.99,1704,87,2016,16
14,9.99,2504,86,2018,18
15,9.99,14913,93,2015,90
16,4.99,12205,95,2016,112
17,5.99,235,96,2023,56
18,9.99,0,84,2024,0
19,6.99,3024,97,2015,0
20,4.99,329,96,2017,0
21,7.99,430,45,2019,0
22,19.99,2230,93,2022,26
23,42.98,1005,88,2020,13
24,9.99,211,56,2022,0
25,29.99,49,40,2023,49
26,59.99,214,83,2023,214
27,24.99,189,96,2020,0
28,9.99,7973,78,2016,19
29,12.99,334,95,2023,18
30,9.99,5827,84,2011,23
31,24.99,98,75,2023,98
32,19.99,1167,96,2018,0
33,9.99,610,89,2015,0
34,19.99,599,78,2016,0
35,9.99,624,80,2022,30
36,11.99,17,100,2023,17
37,9.99,5,80,2024,5
38,17.99,428,92,2022,0
39,7.99,1184,88,2020,13
40,19.99,921,91,2019,0
1,4.99,18820,91,2021,346
2,39.99,7277,95,2023,429
3,6.99,1746,89,2024,1746
4,39.99,134139,95,2021,4374
5,14.99,5531,97,2024,5531
6,9.99,315786,98,2011,3702
7,29.99,582,83,2024,582
8,19.99,50684,96,2016,991
9,6.99,11194,97,2021,110
10,29.99,9815,89,2019,70
11,19.99,10110,98,2023,819
12,19.99,151464,94,2016,999
13,9.99,30322,92,2011,445
14,19.99,80542,97,2018,1300
15,9.99,130074,98,2007,2273
16,19.99,3238,95,2020,46
17,19.99,5219,95,2020,66
18,5.49,3378,90,2023,521
19,29.99,1209,93,2023,89
20,19.99,40536,94,2017,704
21,19.99,21619,94,2020,282
22,12.49,2505,88,2018,14
23,29.99,28169,94,2021,796
