Rank,Price ($),# Reviews,% Positive,Release Year (Steam),Recent Review #,Name
1,21.99,"10,094",91,2023,207,boltgun
2,19.99,"18,404",97,2018,219,dusk
3,19.99,188,78,2023,14,metal gear & metal gear 2
4,29.99,864,93,2023,21,
5,14.99,433,99,2024,188,angel at dusk
6,49.99,1998,96,2023,57,star ocean the second story
7,59.99,4104,73,2023,292,gta san andreas
8,9.99,"147,151",97,2000,1127,counterstrike
9,14.99,795,91,2024,238,home safety hotline
10,19.99,27067,90,2020,212,c&c remastered collection
11,24.99,424,83,2023,12,
12,24.99,12549,92,2023,607,wandering sword
14,24.99,1290,75,2024,1290,wrath aeon of ruin
15,29.99,36,75,2023,36,jurassic park classic games collection
16,7.99,368,95,2024,217,
17,9.99,"89,380",96,1998,1057,half-life
1,4.99,"597,631",92,2018,2331,among us
2,0,"59,396",87,2021,1171,goose goose duck
3,9.99,1192,89,2023,85,west hunt
4,14.99,2620,79,2021,20,first class trouble
5,9.99,2163,94,2021,54,perfect heist 2
6,24.99,989,81,2018,12,
7,4.99,3197,91,2021,74,feign
8,9.99,13228,85,2019,31,
9,0,5455,79,2023,271,town of salem 2
10,9.99,2117,76,2022,30,
11,0,91809,79,2017,430,
12,4.99,50,92,2023,50,
13,29.99,2067,95,2019,16,jackbox party pack 6
14,4.99,31005,89,2014,58,
15,14.99,326,75,2022,0,
16,9.99,12,66,2024,12,
17,4.99,2082,89,2020,0,
1,39.99,147132,78,2024,147132,
2,29.99,3241,80,2024,3241,
3,49.99,83105,87,2020,1108,
4,0,798308,78,2020,14820,
5,0,564862,87,2013,5737,
6,39.99,91409,94,2020,1718,
7,49.99,6618,92,2023,550,
8,9.99,283000,97,2023,31645,
9,9.99,12782,84,2024,13180,
10,59.99,20536,87,2021,333,
11,59.99,634249,82,2020,9161,
13,0,584152,80,2019,3352,
14,39.99,11269,92,2019,135,
15,39.99,101086,93,2013,365,
16,59.99,66658,84,2016,541,
1,49.99,64976,82,2016,850,Wachdogs 2
2,59.99,6686,59,2023,250,Watchdogs legion
3,29.99,36296,76,2014,518,watchdogs legion
4,19.99,2342,95,2021,96,turing complete
5,19.99,5571,88,2021,101,operation tango
6,9.99,273,71,2024,73,computer repair shop
7,19.99,1245,90,2017,32,grey hack
8,19.99,478,96,2022,12,ctrl alt ego
9,17.99,75,88,2024,75,joy of programming
10,9.99,12361,94,2024,129,cybermanhunt
11,24.98,6043,79,2020,64,streamer life simulator
12,12.99,83,85,2022,0,bots are stupid
13,14.99,1704,87,2016,16,screepsworld
14,9.99,2504,86,2018,18,welcome to the game
15,9.99,14913,93,2015,90,jacknet
16,4.99,12205,95,2016,112,pony islant
17,5.99,235,96,2023,56,Tunnet
18,9.99,0,84,2024,0,Beyond the Fringe
19,6.99,3024,97,2015,0,TIS-100
20,4.99,329,96,2017,0,Brigand: Oaxaca
21,7.99,430,45,2019,0,CTA
22,19.99,2230,93,2022,26,Case Cracker
23,42.98,1005,88,2020,13,Beyond A Steel Sky
24,9.99,211,56,2022,0,Simulcra 3
25,29.99,49,40,2023,49,Samurai Slaughterhouse
26,59.99,214,83,2023,214,Anonymous Code
27,24.99,189,96,2020,0,Yolo Space Hacker
28,9.99,7973,78,2016,19,Orwell keeping an eye on you
29,12.99,334,95,2023,18,mindhack
30,9.99,5827,84,2011,23,eye devine cybermancy
31,24.99,98,75,2023,98,Squally
