Average Rank,Price ($),# Reviews,% Positive,Release Year,Recent Review,Name
22,0,1032068,93,2007,8311,Team Fortress 2
27.56,9.99,130157,98,2007,2240,Portal
16.3,9.99,315939,98,2011,3628,Portal 2
20.25,9.99,89447,96,1998,1034,Half Life
14.67,9.99,147279,97,2004,1856,Half Life 2
18.5,7.99,23638,95,2006,359,Half Life 2 Episode 1
23.25,7.99,31320,97,2007,432,Half Life 2 Episode 2
19.6,9.99,147204,97,2000,1114,Counterstrike
24,9.99,113999,96,2004,1079,Counterstrike Source
24.4,9.99,45349,96,2008,535,Left 4 Dead
22.77,9.99,625409,97,2009,7990,Left 4 Dead 2
6.87,0,2184293,81,2013,25324,Dota 2
1.33,0,7921167,87,2012,70508,Counter-Strike 2
16.33,59.99,76171,98,2020,662,Half-Life Alyx
20,4.99,18348,95,1999,313,Half-life opposing force
21,4.99,13497,92,2001,214,half-life blue shift
